species_id,preferred_name,scientific_name,synonym,synonym_type,is_farmed_candidate,default_group,notes
ONC_MASOU,Masu salmon,Oncorhynchus masou,sakuramasu,common,TRUE,salmon,Established common name
ONC_MASOU,Masu salmon,Oncorhynchus masou,satsukimasu,common,TRUE,salmon,Established common name
ONC_MASOU,Masu salmon,Oncorhynchus masou,yamame,common,TRUE,salmon,Established common name
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Oncorhynchus mykkis,scientific,TRUE,trout,Observed spelling error in W05 corpus
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Oncorhyncus mykiss,scientific,TRUE,trout,Observed spelling error in W05 corpus
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,OOncorhynchus mykiss,scientific,TRUE,trout,Observed OCR/spelling error in W05 corpus
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Oncorhynchus mykis,scientific,TRUE,trout,Observed spelling error in W05 corpus
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,Salmo giardneri,scientific,TRUE,trout,Observed spelling error in W05 corpus
UNSPEC_SALMON,Unspecified species,,Salmon louse,generic,TRUE,salmon,Explicit host-context rule
UNSPEC_SALMON,Unspecified species,,Salmon lice,generic,TRUE,salmon,Explicit host-context rule
UNSPEC_SALMON,Unspecified species,,salmón,generic,TRUE,salmon,Spanish generic salmon
UNSPEC_SALMON,Unspecified species,,salmones,generic,TRUE,salmon,Spanish generic salmon plural
UNSPEC_SALMON,Unspecified species,,saumon,generic,TRUE,salmon,French generic salmon
UNSPEC_SALMON,Unspecified species,,saumons,generic,TRUE,salmon,French generic salmon plural
UNSPEC_SALMON,Unspecified species,,salmão,generic,TRUE,salmon,Portuguese generic salmon
UNSPEC_SALMON,Unspecified species,,salmões,generic,TRUE,salmon,Portuguese generic salmon plural
UNSPEC_SALMON,Unspecified species,,laks,generic,TRUE,salmon,Norwegian/Danish generic salmon
UNSPEC_SALMON,Unspecified species,,lax,generic,TRUE,salmon,Swedish/Icelandic generic salmon
UNSPEC_SALMON,Unspecified species,,laxar,generic,TRUE,salmon,Swedish/Icelandic generic salmon plural
UNSPEC_SALMON,Unspecified species,,lohi,generic,TRUE,salmon,Finnish generic salmon
UNSPEC_SALMON,Unspecified species,,lohet,generic,TRUE,salmon,Finnish generic salmon plural
UNSPEC_SALMON,Unspecified species,,Lachs,generic,TRUE,salmon,German generic salmon
UNSPEC_SALMON,Unspecified species,,Lachse,generic,TRUE,salmon,German generic salmon plural
UNSPEC_SALMON,Unspecified species,,laksur,generic,TRUE,salmon,Faroese generic salmon
UNSPEC_SALMON,Unspecified species,,laksar,generic,TRUE,salmon,Faroese generic salmon plural
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,trucha arco iris,common,TRUE,trout,Spanish rainbow trout
ONC_MYKISS,Rainbow trout,Oncorhynchus mykiss,trucha arcoíris,common,TRUE,trout,Spanish rainbow trout
