"github_run_id","state","upstream_workflow01_canonical_sha256","cumulative_patch_records","previous_workflow02_run_id","previous_workflow02_zenodo_record_id","zenodo_record_id","doi","record_url","visibility","manifest_sha256","published_at_utc"
"36137804187","enrichment_patch","f0772fb92cca9fcc676a0f77bf8b2eae0becebf60b07cb23db989d22b7cabe80",3434,,,"22960664","10.5281/zenodo.22960664","https://zenodo.org/records/22960664","restricted","405d54e01a4578ca6477820ea836f1142a3ca1a57647cf3028bed04da8ed20e2","2026-09-25T14:01:15Z"
"36159140553","canonical_correction_patch","f0772fb92cca9fcc676a0f77bf8b2eae0becebf60b07cb23db989d22b7cabe80",6,"36137804187","22960664","22963024","10.5281/zenodo.22963024","https://zenodo.org/records/22963024","restricted","a19d90288f7e4086b946650ad9eb9d0c9198ae9d2f201b79fcb3c3f3cac59160","2026-09-25T16:19:02Z"
