input_doi,openalex_id,openalex_doi,doi_exact_match,title,publication_year,oa_is_oa,oa_status,oa_license,has_pdf,has_grobid_xml,has_fulltext,pdf_url,grobid_xml_url,status
10.1108/imp-09-2015-0052,https://openalex.org/W2479738061,10.1108/imp-09-2015-0052,TRUE,Market policy and destructive network effects,2016,TRUE,green,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2479738061.pdf,https://content.openalex.org/works/W2479738061.grobid-xml,matched
10.3390/systems8010004,https://openalex.org/W3000940498,10.3390/systems8010004,TRUE,Systems Engineering Approach to Food Loss Reduction in Norwegian Farmed Salmon Post-Harvest Processing,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3000940498.pdf,https://content.openalex.org/works/W3000940498.grobid-xml,matched
10.3390/ani11123547,https://openalex.org/W4200510153,10.3390/ani11123547,TRUE,"Evaluation of an Innovative and Sustainable Pre-Commercial Compound as Replacement of Fish Meal in Diets for Rainbow Trout during Pre-Fattening Phase: Effects on Growth Performances, Haematological Parameters and Fillet Quality Traits",2021,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4200510153.pdf,https://content.openalex.org/works/W4200510153.grobid-xml,matched
10.3389/fphys.2018.00596,https://openalex.org/W2802190034,10.3389/fphys.2018.00596,TRUE,Effects of Different Levels of Pomegranate Seed Oil on Some Blood Parameters and Disease Resistance Against Yersinia ruckeri in Rainbow Trout,2018,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2802190034.pdf,https://content.openalex.org/works/W2802190034.grobid-xml,matched
10.4194/2618-6381-v18_2_02,https://openalex.org/W2893698449,10.4194/2618-6381-v18_2_02,TRUE,,2018,TRUE,diamond,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2893698449.pdf,https://content.openalex.org/works/W2893698449.grobid-xml,matched
10.3390/ijms241914556,https://openalex.org/W4387055754,10.3390/ijms241914556,TRUE,Revealing the Salmo salar NLRP3 Inflammasome: Insights from Structural Modeling and Transcriptome Analysis,2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4387055754.pdf,https://content.openalex.org/works/W4387055754.grobid-xml,matched
10.1111/j.1365-2761.2004.00526.x,https://openalex.org/W2114288504,10.1111/j.1365-2761.2004.00526.x,TRUE,"Gross pathology and its relationship with histopathology of amoebic gill disease (AGD) in farmed Atlantic salmon, Salmo salar L.",2004,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2114288504.pdf,https://content.openalex.org/works/W2114288504.grobid-xml,matched
10.3354/aei00372,https://openalex.org/W3043507701,10.3354/aei00372,TRUE,Parameterising resuspension in aquaculture waste deposition modelling,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3043507701.pdf,https://content.openalex.org/works/W3043507701.grobid-xml,matched
10.3354/aei00133,https://openalex.org/W1997555072,10.3354/aei00133,TRUE,Connected networks of sea lice populations: dynamics and implications for control,2015,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1997555072.pdf,https://content.openalex.org/works/W1997555072.grobid-xml,matched
10.1038/s41598-022-19277-3,https://openalex.org/W4294053330,10.1038/s41598-022-19277-3,TRUE,The shrunk genetic diversity of coral populations in North-Central Patagonia calls for management and conservation plans for marine resources,2022,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4294053330.pdf,https://content.openalex.org/works/W4294053330.grobid-xml,matched
10.3354/meps08161,https://openalex.org/W2021734413,10.3354/meps08161,TRUE,Scale microchemistry as a tool to investigate the origin of wild and farmed Salmo salar,2009,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2021734413.pdf,https://content.openalex.org/works/W2021734413.grobid-xml,matched
10.15353/cfs-rcea.v11i1.628,https://openalex.org/W4393302052,10.15353/cfs-rcea.v11i1.628,TRUE,Protein politics,2024,TRUE,diamond,cc-by-sa,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4393302052.pdf,https://content.openalex.org/works/W4393302052.grobid-xml,matched
10.1007/s00027-004-0715-8,https://openalex.org/W2041162923,10.1007/s00027-004-0715-8,TRUE,"Risk, regulation and innovation: The case of aquaculture and transgenic fish",2004,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2041162923.pdf,https://content.openalex.org/works/W2041162923.grobid-xml,matched
10.1111/raq.12755,https://openalex.org/W4308444789,10.1111/raq.12755,TRUE,Innovation in the Norwegian aquaculture industry,2022,TRUE,hybrid,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4308444789.pdf,https://content.openalex.org/works/W4308444789.grobid-xml,matched
10.3390/biology13060393,https://openalex.org/W4399125399,10.3390/biology13060393,TRUE,"Swimming at Increasing Speeds in Steady and Unsteady Flows of Atlantic Salmon Salmo salar: Oxygen Consumption, Locomotory Behaviour and Overall Dynamic Body Acceleration",2024,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4399125399.pdf,https://content.openalex.org/works/W4399125399.grobid-xml,matched
10.3390/ijgi11030157,https://openalex.org/W4213438383,10.3390/ijgi11030157,TRUE,Aquaculture Site Selection of Oncorhynchus Mykiss (Rainbow Trout) in Markazi Province Using GIS-Based MCDM,2022,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4213438383.pdf,https://content.openalex.org/works/W4213438383.grobid-xml,matched
10.1590/1809-4422asoc261r2v2022017,https://openalex.org/W2746180380,10.1590/1809-4422asoc261r2v2022017,TRUE,GOVERNANCES AND INVISIBILITIES: INTERESTS AND RATIONALITIES IN THE SOCIO-ENVIRONMENTAL REGULATION OF SALMON FARMING IN CHILE,2017,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2746180380.pdf,https://content.openalex.org/works/W2746180380.grobid-xml,matched
10.3390/md18050252,https://openalex.org/W3024510414,10.3390/md18050252,TRUE,Biochemical and Genomic Characterization of the Cypermethrin-Degrading and Biosurfactant-Producing Bacterial Strains Isolated from Marine Sediments of the Chilean Northern Patagonia,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3024510414.pdf,https://content.openalex.org/works/W3024510414.grobid-xml,matched
10.56808/2985-1130.2287,https://openalex.org/W4386111049,10.56808/2985-1130.2287,TRUE,"Presence of Infectious Pancreatic Necrosis Virus on Rainbow Trout (Oncorhynchus mykiss) by Histopathology, ELISA and RT-PCR",2011,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4386111049.pdf,https://content.openalex.org/works/W4386111049.grobid-xml,matched
10.1186/s13071-020-04211-1,https://openalex.org/W3041759152,10.1186/s13071-020-04211-1,TRUE,"Candidate genes for monitoring hydrogen peroxide resistance in the salmon louse, Lepeophtheirus salmonis",2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3041759152.pdf,https://content.openalex.org/works/W3041759152.grobid-xml,matched
10.1016/j.aquaculture.2023.740151,https://openalex.org/W4387159349,10.1016/j.aquaculture.2023.740151,TRUE,Hypothalamic expression analysis of m6A RNA methylation associated genes suggests a potential role of epitranscriptomics in sexual maturation of Atlantic salmon,2023,TRUE,green,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4387159349.pdf,https://content.openalex.org/works/W4387159349.grobid-xml,matched
10.3390/microorganisms11122877,https://openalex.org/W4389078883,10.3390/microorganisms11122877,TRUE,In Vitro Efficacy of Isobutyl Cyanoacrylate Nanoparticles against Fish Bacterial Pathogens and Selection Preference by Rainbow Trout (Oncorhynchus mykiss),2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4389078883.pdf,https://content.openalex.org/works/W4389078883.grobid-xml,matched
10.18311/jeoh/2018/22304,https://openalex.org/W4235481385,10.18311/jeoh/2018/22304,TRUE,"Length Weight Relationship and Condition Factor of Cultured Rainbow Trout, Oncorhynchus mykiss (Walabum, 1792)",2018,TRUE,diamond,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4235481385.pdf,https://content.openalex.org/works/W4235481385.grobid-xml,matched
10.3750/aip2011.42.2.04,https://openalex.org/W2051780232,10.3750/aip2011.42.2.04,TRUE,"Evaluation of the Immunomodulatory Effects of Silymarin Extract (Silybum Marianum) on Some Immune Parameters of Rainbow Trout, Oncorhynchus Mykiss (Actinopterygii: Salmoniformes: Salmonidae)",2012,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2051780232.pdf,https://content.openalex.org/works/W2051780232.grobid-xml,matched
10.14288/1.0058553,https://openalex.org/W2284462470,10.14288/1.0058553,TRUE,Summer growth near salmon sea cages and nitrogen uptake of kelp,2009,TRUE,green,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2284462470.pdf,https://content.openalex.org/works/W2284462470.grobid-xml,matched
10.1007/s11248-010-9443-0,https://openalex.org/W2079829946,10.1007/s11248-010-9443-0,TRUE,Standing genetic variation and compensatory evolution in transgenic organisms: a growth-enhanced salmon simulation,2010,TRUE,hybrid,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2079829946.pdf,https://content.openalex.org/works/W2079829946.grobid-xml,matched
10.4067/s0718-19572016000300010,https://openalex.org/W2568012322,10.4067/s0718-19572016000300010,TRUE,Hongos aislados desde sedimentos de fiordos chilenos degradadores de oxitetraciclina,2016,TRUE,diamond,cc-by-nc,TRUE,TRUE,FALSE,https://content.openalex.org/works/W2568012322.pdf,https://content.openalex.org/works/W2568012322.grobid-xml,matched
10.3390/ani13121922,https://openalex.org/W4380090394,10.3390/ani13121922,TRUE,How Do Alternative Protein Resources Affect the Intestine Morphology and Microbiota of Atlantic Salmon?,2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4380090394.pdf,https://content.openalex.org/works/W4380090394.grobid-xml,matched
10.1093/icesjms/fsv248,https://openalex.org/W2207840883,10.1093/icesjms/fsv248,TRUE,An overview of global research effort in fisheries science,2015,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2207840883.pdf,https://content.openalex.org/works/W2207840883.grobid-xml,matched
10.3390/v12101071,https://openalex.org/W3088051445,10.3390/v12101071,TRUE,Mutation of N-glycosylation Sites in Salmonid Alphavirus (SAV) Envelope Proteins Attenuate the Virus in Cell Culture,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3088051445.pdf,https://content.openalex.org/works/W3088051445.grobid-xml,matched
10.26881/oandhs-2022.2.01,https://openalex.org/W4318537293,10.26881/oandhs-2022.2.01,TRUE,"Pre-probiotic effects of different bacterial species in aquaculture: behavioral, hematological and oxidative stress responses",2022,TRUE,diamond,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4318537293.pdf,https://content.openalex.org/works/W4318537293.grobid-xml,matched
10.1371/journal.pone.0294656,https://openalex.org/W4389167018,10.1371/journal.pone.0294656,TRUE,"Effect of climate change on hematotoxicity/hepatoxicity oxidative stress, Oncorhynchus mykiss, under controlled conditions",2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4389167018.pdf,https://content.openalex.org/works/W4389167018.grobid-xml,matched
