doi_for_lookup,openalex_id,openalex_title,openalex_is_retracted,openalex_lookup_status,openalex_error,last_checked_at,next_check_at,record_id,doi_raw,detected_at
10.1016/j.dib.2024.110245,https://openalex.org/W4392373627,WITHDRAWN: SSU rRNA sequencing data for bacterial communities of the mucosa and the gut contents of rainbow trout (Oncorhynchus mykiss) on a high-carbohydrate and high-protein diet,TRUE,matched,,2026-08-24T16:19:36Z,,81576,10.1016/j.dib.2024.110245,2026-08-24 16:19:36 UTC
10.1051/bioconf/20248401052,https://openalex.org/W4390608735,RETRACTED: Use of ultrasonic screening in aquaculture for the directed formation sturgeon and salmon fish mature stocks,TRUE,matched,,2026-08-24T16:19:36Z,,77223,10.1051/bioconf/20248401052,2026-08-24 16:19:36 UTC
10.3390/ijms25010308,https://openalex.org/W4390236118,RETRACTED: Andrographolide Alleviates Oxidative Damage and Inhibits Apoptosis Induced by IHNV Infection via CTSK/BCL2/Cytc Axis,TRUE,matched,,2026-08-24T16:19:36Z,,77697,10.3390/ijms25010308,2026-08-24 16:19:36 UTC
