"github_run_id","state","source_manifestations","preserved_pair_decisions","incremental_pair_decisions","manual_review_pairs","zenodo_record_id","doi","record_url","visibility","manifest_sha256","published_at_utc","canonical_records","canonical_jsonl_sha256","canonical_jsonl_bytes","previous_github_run_id","previous_zenodo_record_id","delta_new_source_manifestations","delta_pair_decision_upserts","delta_cluster_map_upserts","delta_canonical_upserts","delta_canonical_retired_ids"
"35964195676","pre_adjudication",90137,519917,298711,3027,"22932524","10.5281/zenodo.22932524","https://zenodo.org/records/22932524","restricted","d0d94822f18e31f6f47b063b3d6c560b9503acc036e3320d12b1d2a7d236395f","2026-09-24T06:49:37Z",,"",,,,,,,,
"36103542054","final",90137,519917,298711,3027,"22953437","10.5281/zenodo.22953437","https://zenodo.org/records/22953437","restricted","e4308191b3b04de6f2c591a4f08323d3833b7ef39c660c42b5549a3613fbeb85","2026-09-25T07:16:18Z",32292,"40eaf26efc73a59a427b05c0ef7d30af33e993edf9c9993ba1d7984c06e4bd9b",243621769,,,,,,,
"36128255337","delta",90137,519917,298711,3027,"22958748","10.5281/zenodo.22958748","https://zenodo.org/records/22958748","restricted","424048ef68860f8e92bf1f01854e706f6372d959698e55a2ee64b3aaa018a6d3","2026-09-25T12:07:04Z",32292,"f0772fb92cca9fcc676a0f77bf8b2eae0becebf60b07cb23db989d22b7cabe80",241172541,"36103542054","22953437",0,0,0,17,0
